Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE,Valuation,PT Diff in %,Score,Valuation1,Score1,PT Diff in % Absolute,BG_Value,Score2,Score3,PE_Market_avg,Score4,PE_Industry_group_avg
NKE,"NIKE, Inc.",174586696485,113.59,128.9,13.48%,Footwear & Accessories,32.73,3.47,3.63,12.01,1536990021.0,14531000000.0,Consumer Discretionary,-8.68%,3.45,1.11,36.00%,Underpriced,13.48,1,Slightly,0,13.48,27.168660315836398,0,0,62.24668954248366,0,16.322499999999998
NKLA,Nikola,852976540,1.19,3.25,173.11%,Farm & Heavy Construction Machinery,,-1.72,,1.56,716787008.0,545871000.0,Industrials,,14.2,1.44,-143.20%,Underpriced,173.11,1,Significantly,1,173.11,,0,0,62.24668954248366,0,31.45052631578947
NKSH,National Bankshares,179223267,30.43,N/A,,Banks - Regional,7.09,4.29,,1.37,5889690.0,131043000.0,Financials,28.06%,3.02,0.4,20.40%,N/A,,0,,0,,46.342621830519654,1,0,62.24668954248366,0,11.796324786324787
NKTR,Nektar Therapeutics,108242425,0.57,2.25,293.36%,Biotechnology,,-2.21,,0.45,189235008.0,240865000.0,Healthcare,,1.22,1.1,-112.20%,Underpriced,294.74,1,Significantly,1,294.74,,0,0,62.24668954248366,0,22.024186046511627
NKTX,Nkarta,238312963,4.87,28.0,474.95%,Biotechnology,,-2.49,,0.69,48934900.0,346646000.0,Healthcare,,,0.17,-30.80%,Underpriced,474.95,1,Significantly,1,474.95,,0,0,62.24668954248366,0,22.024186046511627
NL,NL Industries,289965258,5.94,N/A,,Security & Protection Services,34.94,0.17,-0.42,0.78,48815700.0,370294000.0,Industrials,-85.34%,1.75,0.76,2.30%,N/A,,0,,0,,5.386532649977149,0,0,62.24668954248366,0,33.82333333333333
NLS,Nautilus,41063925,1.29,4.0,210.08%,Leisure,,-3.34,1.5,0.67,31832500.0,61300000.0,Consumer Discretionary,,0.14,1.58,-123.70%,Underpriced,210.08,1,Significantly,1,210.08,,0,0,62.24668954248366,0,26.9275
NLSP,NLS Pharmaceutics AG,31141473,0.96,5.0,420.67%,Biotechnology,,-0.84,,9.49,32428900.0,3280839.0,Healthcare,,,-0.82,-862.90%,Underpriced,420.83,1,Significantly,1,420.83,,0,0,62.24668954248366,0,22.024186046511627
NLTX,Neoleukin Therapeutics,33157670,0.77,1.1,42.08%,Drug Manufacturers - Specialty & Generic,,-1.02,,0.41,42828300.0,81357000.0,Healthcare,,,1.25,-56.70%,Underpriced,42.86,1,Significantly,1,42.86,,0,0,62.24668954248366,0,42.62173913043478
NLY,Annaly Capital Management,10169009625,20.59,21.31,3.50%,REIT - Mortgage,,-2.82,-3.61,0.86,493880992.0,11792122000.0,Real Estate,,,1.44,-11.20%,Underpriced,3.5,1,Slightly,0,3.5,,0,0,62.24668954248366,0,16.103125
NM,Navios Maritime Holdings,37663560,1.65,N/A,,Marine Shipping,,2.82,,0.36,22826400.0,103368000.0,Industrials,-54.44%,0.11,1.64,127.80%,N/A,,0,,0,,16.95079838137293,1,0,62.24668954248366,0,4.0184848484848485
NMFC,New Mountain Finance,1237487620,12.26,12.13,-1.06%,Asset Management,15.52,0.79,,0.93,100937000.0,1326690000.0,Financials,-55.11%,3.9,1.2,6.20%,Overpriced,-1.06,0,Slightly,0,1.06,15.284961042824552,1,0,62.24668954248366,0,42.887671232876706
NMG,Nouveau Monde Graphite,198648903,3.27,8.0,144.65%,Other Industrial Metals & Mining,,-1.06,,4.01,60748900.0,49536000.0,Materials,,,1.7,-80.60%,Underpriced,144.65,1,Significantly,1,144.65,,0,0,62.24668954248366,0,13.131818181818181
NMIH,NMI Holdings,2110312767,25.34,24.75,-2.33%,Insurance - Specialty,7.24,3.5,1.66,1.24,83279904.0,1706711000.0,Financials,25.00%,3.96,1.25,18.80%,Overpriced,-2.33,0,Slightly,0,2.33,40.17308346682431,1,0,62.24668954248366,0,20.699375
NMM,Navios Maritime Partners L.P.,628439208,20.82,N/A,,Marine Shipping,1.08,12.19,-1.39,0.26,30184400.0,2440589000.0,Industrials,-64.25%,0.49,2.03,24.50%,N/A,,0,,0,,148.91867481636288,1,0,62.24668954248366,0,4.0184848484848485
NMR,Nomura Holdings,11897898947,3.96,N/A,,Capital Markets,18.0,0.37,1.8,0.5,3004519936.0,23909803117.0,Financials,-6.99%,1.06,0.69,5.10%,N/A,,0,,0,,8.139403452602398,1,0,62.24668954248366,0,21.3659375
NMRD,Nemaura Medical,19073604,0.66,6.5,884.85%,Medical Devices,,-0.54,,,28899400.0,-9858709.0,Healthcare,,48.01,-0.05,,Underpriced,884.85,1,Significantly,1,884.85,2.0358873774301762,1,0,62.24668954248366,0,1044.0974193548386
NMRK,Newmark Group,1510233476,6.32,6.75,6.80%,Real Estate Services,16.21,0.39,,1.27,238960993.0,1185749000.0,Real Estate,-88.86%,0.59,1.72,6.10%,Underpriced,6.8,1,Slightly,0,6.8,6.598670442793333,1,0,62.24668954248366,0,69.253
NMTC,NeuroOne Medical Technologies,20371688,1.16,N/A,,Medical Devices,,-0.58,,3.68,17561800.0,5532824.0,Healthcare,,4.99,0.69,-110.70%,N/A,,0,,0,,,0,0,62.24668954248366,0,1044.0974193548386
NMTR,9 Meters Biopharma,10345915,0.72,43.44,5971.28%,Biotechnology,,-3.46,,,14459700.0,-6299205.0,Healthcare,,,1.36,-585.00%,Underpriced,5933.33,1,Significantly,1,5933.33,5.8236134210173915,1,0,62.24668954248366,0,22.024186046511627
NN,NextNav,317768100,2.95,7.0,137.29%,Internet Content & Information,,-0.44,,3.75,107718000.0,84826000.0,Communication Services,,89.34,1.77,-49.50%,Underpriced,137.29,1,Significantly,1,137.29,,0,0,62.24668954248366,0,31.845
NNBR,"NN, Inc.",96785844,2.12,N/A,,Conglomerates,,-0.99,,0.55,45653700.0,174464000.0,Industrials,,0.19,2.72,-17.30%,N/A,,0,,0,,,0,0,62.24668954248366,0,14.119285714285715
NNDM,Nano Dimension,647933890,2.51,N/A,,Computer Hardware,,-0.25,,2.0,258140992.0,323872444.0,Technology,,52.71,1.77,-18.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,99.56384615384617
NNI,Nelnet,3719587625,99.75,90.0,-9.77%,Credit Services,15.09,6.61,-1.93,1.15,37289099.0,3229683000.0,Financials,-44.50%,2.8,0.82,7.80%,Overpriced,-9.77,0,Slightly,0,9.77,113.49611418356261,1,0,62.24668954248366,0,24.72840909090909
NNN,National Retail Properties,7764190021,42.64,47.88,12.29%,REIT - Retail,22.09,1.93,4.92,1.88,182087008.0,4134872000.0,Real Estate,15.57%,9.87,0.87,8.50%,Underpriced,12.29,1,Slightly,0,12.29,31.402300750412543,0,0,62.24668954248366,0,61.5325
NNOX,Nano-X Imaging,1060540269,19.23,30.0,56.01%,Medical Devices,,-1.97,,5.13,55150300.0,206730000.0,Healthcare,,115.06,1.72,-44.30%,Underpriced,56.01,1,Significantly,1,56.01,,0,0,62.24668954248366,0,1044.0974193548386
NNVC,NanoViricides,13065920,1.12,5.25,368.75%,Biotechnology,,-0.59,,0.72,11666000.0,18228055.0,Healthcare,,,1.11,-32.90%,Underpriced,368.75,1,Significantly,1,368.75,,0,0,62.24668954248366,0,22.024186046511627
NOA,North American Construction Group,516029906,19.54,N/A,,Oil & Gas Equipment & Services,11.1,1.76,4.82,2.18,26408900.0,236390580.0,Energy,68.75%,0.85,1.57,25.40%,N/A,,0,,0,,18.827277335479497,0,0,62.24668954248366,0,26.985882352941175
NOAH,Noah Holdings,1294320446,16.45,22.75,38.30%,Asset Management,8.89,1.85,,0.91,78682094.0,1415022707.0,Financials,,2.86,1.04,9.80%,Underpriced,38.3,1,Significantly,1,38.3,27.360301136629968,1,0,62.24668954248366,0,42.887671232876706
NOC,Northrop Grumman,69604576317,458.35,485.25,5.87%,Aerospace & Defense,14.85,30.86,10.54,4.6,151859008.0,15136000000.0,Industrials,-14.61%,1.88,0.5,33.00%,Underpriced,5.87,1,Slightly,0,5.87,263.071923454775,0,0,62.24668954248366,0,30.43444444444444
NODK,NI Holdings,304897300,14.5,N/A,,Insurance - Property & Casualty,,-2.78,,1.2,21027400.0,253071000.0,Financials,,0.9,0.26,-23.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,101.15631578947368
NOG,Northern Oil and Gas,3097272960,33.3,42.38,27.27%,Oil & Gas E&P,2.15,15.49,0.08,2.96,93011200.0,1048067000.0,Energy,,1.42,1.99,194.70%,Underpriced,27.27,1,Significantly,1,27.27,62.66771613660532,1,0,62.24668954248366,0,10.079873417721519
NOGN,Nogin,13969872,1.26,10.0,693.65%,Software - Application,,-36.01,,,11087200.0,-82242000.0,Technology,,0.16,,,Underpriced,693.65,1,Significantly,1,693.65,77.52445297014035,1,0,62.24668954248366,0,164.93469696969697
NOK,Nokia Oyj,23812893348,4.28,6.0,40.19%,Communication Equipment,5.16,0.8,9.0,1.05,5563760128.0,22694680851.0,Technology,158.62%,0.9,0.67,22.00%,Underpriced,40.19,1,Significantly,1,40.19,8.568683338909091,1,0,62.24668954248366,0,26.672758620689656
NOMD,Nomad Foods,3145568034,18.03,22.2,23.13%,Packaged Foods,12.27,1.73,1.38,1.09,174463008.0,2873478261.0,Consumer Staples,35.90%,0.97,0.74,10.80%,Underpriced,23.13,1,Significantly,1,23.13,25.320168443351623,1,0,62.24668954248366,0,24.583589743589744
NOTE,FiscalNote Holdings,401831991,3.0,9.75,225.00%,Information Technology Services,,-3.48,,2.86,133943997.0,140434000.0,Technology,,3.37,-0.27,,Underpriced,225.0,1,Significantly,1,225.0,,0,0,62.24668954248366,0,32.660810810810815
NOTV,Inotiv,136270400,5.29,9.0,70.13%,Diagnostics & Research,,-13.91,,0.5,25760000.0,273946000.0,Healthcare,,0.23,2.5,-90.30%,Underpriced,70.13,1,Significantly,1,70.13,,0,0,62.24668954248366,0,60.269999999999996
NOV,NOV Inc.,6138172625,15.59,23.46,50.48%,Oil & Gas Equipment & Services,18.56,0.84,-0.31,1.17,393724992.0,5243000000.0,Energy,,0.8,1.9,6.60%,Underpriced,50.48,1,Significantly,1,50.48,15.864425132826982,1,0,62.24668954248366,0,26.985882352941175
NOVA,Sunnova Energy International,2181600400,18.76,33.29,77.45%,Solar,,-1.81,,1.71,116290000.0,1278777000.0,Technology,,3.34,2.08,-16.40%,Underpriced,77.45,1,Significantly,1,77.45,,0,0,62.24668954248366,0,417.33000000000004
NOVN,Novan,20451242,0.73,12.5,1612.33%,Biotechnology,,-1.32,,,28015400.0,-2828000.0,Healthcare,,0.82,0.16,-616.80%,Underpriced,1612.33,1,Significantly,1,1612.33,1.7314881090872236,1,0,62.24668954248366,0,22.024186046511627
NOVT,Novanta,6073345872,169.62,161.0,-5.08%,Scientific & Technical Instruments,82.74,2.05,2.11,10.16,35805600.0,598017000.0,Technology,25.77%,6.93,1.29,13.10%,Overpriced,-5.08,0,Slightly,0,5.08,27.755526933150065,0,1,62.24668954248366,0,96.33000000000001
NOVV,Nova Vision Acquisition,38644820,10.82,N/A,,Shell Companies,,-0.72,,,3571610.0,-1740559.0,Financials,,,,-18.70%,N/A,,0,,0,,2.809764148367594,0,0,62.24668954248366,0,132.68085501858738
NOW,ServiceNow,115210895200,565.48,544.97,-3.63%,Software - Application,288.51,1.96,1.52,20.57,203740000.0,5600000000.0,Technology,78.18%,15.12,1.03,8.30%,Overpriced,-3.63,0,Slightly,0,3.63,34.81570207287978,0,1,62.24668954248366,1,164.93469696969697
NPAB,New Providence Acquisition Corp. II,120707582,10.48,N/A,,Shell Companies,87.33,0.12,,,11517899.0,-9226705.0,Financials,,,,-43.90%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
NPCE,NeuroPace,119405380,4.7,7.5,59.57%,Medical Devices,,-1.85,,4.34,25405400.0,27490000.0,Healthcare,,2.46,2.54,-116.00%,Underpriced,59.57,1,Significantly,1,59.57,,0,0,62.24668954248366,0,1044.0974193548386
NPK,National Presto Industries,549649619,77.67,N/A,,Aerospace & Defense,20.71,3.75,,1.67,7076730.0,329482000.0,Industrials,35.87%,1.61,0.66,7.80%,N/A,,0,,0,,62.67674391612335,0,0,62.24668954248366,0,30.43444444444444
NPO,EnPro Industries,2678412962,128.29,135.0,5.23%,Specialty Industrial Machinery,11.92,10.76,1.74,1.87,20877800.0,1435100000.0,Industrials,26.44%,2.29,1.44,16.70%,Underpriced,5.23,1,Slightly,0,5.23,129.00190108178134,1,0,62.24668954248366,0,42.107894736842105
NPWR,NET Power,565832768,11.93,N/A,,Shell Companies,,-14.79,,8.79,3703000000.0,64402000.0,Financials,,975.57,,-2630.90%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
NR,Newpark Resources,386280924,4.54,N/A,,Oil & Gas Equipment & Services,,-0.18,,0.93,85083904.0,417229000.0,Energy,,0.46,2.84,-4.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,26.985882352941175
NRAC,Noble Rock Acquisition,88586888,10.4,N/A,,Shell Companies,86.67,0.12,,,8517970.0,-12549239.0,Financials,-66.67%,,0.02,-35.40%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
NRBO,NeuroBo Pharmaceuticals,12531182,0.46,6.0,1204.35%,Biotechnology,,-2.14,,0.61,27241700.0,20508000.0,Healthcare,,,-0.78,-96.10%,Underpriced,1204.35,1,Significantly,1,1204.35,,0,0,62.24668954248366,0,22.024186046511627
NRC,National Research,1112362960,45.2,N/A,,Health Information Services,37.36,1.21,,14.9,24609800.0,74665000.0,Healthcare,-16.55%,7.44,0.52,42.70%,N/A,,0,,0,,9.088421005800646,0,0,62.24668954248366,0,95.41799999999999
NRDS,NerdWallet,818642935,10.67,17.2,61.20%,Credit Services,355.67,0.03,,2.26,76723799.0,361800000.0,Financials,,1.41,,0.60%,Underpriced,61.2,1,Significantly,1,61.2,1.784107908021621,0,1,62.24668954248366,1,24.72840909090909
NRDY,Nerdy,403841148,4.12,4.57,10.92%,Software - Application,,-0.42,,11.41,98019696.0,35397000.0,Technology,,2.45,1.66,-79.10%,Underpriced,10.92,1,Slightly,0,10.92,,0,0,62.24668954248366,0,164.93469696969697
NREF,NexPoint Real Estate Finance,322227671,14.5,16.5,13.79%,REIT - Mortgage,,-0.32,,0.85,22222598.0,377169000.0,Real Estate,,9.79,1.69,-0.80%,Underpriced,13.79,1,Slightly,0,13.79,,0,0,62.24668954248366,0,16.103125
NRG,NRG Energy,7855515840,34.12,39.2,14.89%,Utilities - Independent Power Producers,,-7.93,0.53,2.55,230232000.0,3080000000.0,Utilities,,0.25,1.01,-42.80%,Underpriced,14.89,1,Slightly,0,14.89,,0,0,62.24668954248366,0,18.915
NRGV,Energy Vault Holdings,384570680,2.71,6.31,132.84%,Utilities - Renewable,,-0.66,,1.45,141908000.0,264485000.0,Utilities,,3.36,-0.13,-30.80%,Underpriced,132.84,1,Significantly,1,132.84,,0,0,62.24668954248366,0,28.711428571428574
NRIM,Northrim BanCorp,231756437,41.02,N/A,,Banks - Regional,8.35,4.91,,1.03,5649840.0,224425000.0,Financials,-6.65%,1.83,0.65,13.00%,N/A,,0,,0,,66.24445745057365,1,0,62.24668954248366,0,11.796324786324787
NRIX,Nurix Therapeutics,516680406,10.89,29.7,172.73%,Biotechnology,,-3.52,,1.89,47445400.0,274052000.0,Healthcare,,12.39,1.69,-60.20%,Underpriced,172.73,1,Significantly,1,172.73,,0,0,62.24668954248366,0,22.024186046511627
NRP,Natural Resource Partners L.P.,606334454,47.99,N/A,,Thermal Coal,3.53,13.59,,1.29,12634600.0,470899000.0,Energy,78.82%,1.52,0.28,54.50%,N/A,,0,,0,,106.7539917007145,1,0,62.24668954248366,0,3.3057142857142856
NRSN,NeuroSense Therapeutics,21712000,1.84,N/A,,Biotechnology,,-1.16,,7.52,11800000.0,2889000.0,Healthcare,,,,-206.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,22.024186046511627
NRT,North European Oil Royalty Trust,122142941,13.29,N/A,,Oil & Gas E&P,4.04,3.4,,,9190590.0,,Energy,,,1.18,,N/A,,0,,0,,,0,0,62.24668954248366,0,10.079873417721519
NRXP,NRx Pharmaceuticals,36561042,0.52,3.0,476.92%,Biotechnology,,-0.56,,,70309696.0,-284000.0,Healthcare,,,0.96,-303.30%,Underpriced,476.92,1,Significantly,1,476.92,0.2255988245549303,0,0,62.24668954248366,0,22.024186046511627
NS,NuStar Energy L.P.,1913111250,17.25,18.21,5.57%,Oil & Gas Midstream,14.5,1.19,2.29,2.05,110905000.0,932064000.0,Energy,,1.15,1.83,34.20%,Underpriced,5.57,1,Slightly,0,5.57,15.000717894547165,0,0,62.24668954248366,0,11.720851063829787
NSA,National Storage Affiliates Trust,5029245222,35.51,45.11,27.03%,REIT - Industrial,35.51,1.0,3.14,3.08,141628984.0,1635415000.0,Real Estate,-1.96%,6.12,0.74,5.50%,Underpriced,27.03,1,Significantly,1,27.03,16.118669020328614,0,0,62.24668954248366,0,29.17142857142857
NSC,Norfolk Southern,51023229600,224.14,243.41,8.60%,Railroads,17.22,13.02,2.19,4.01,227640000.0,12727000000.0,Industrials,5.08%,3.94,1.29,23.50%,Underpriced,8.6,1,Slightly,0,8.6,127.9780488846035,0,0,62.24668954248366,0,23.333750000000002
NSIT,Insight Enterprises,4790118224,144.01,132.2,-8.20%,Electronics & Computer Distribution,19.28,7.47,0.9,3.04,33262400.0,1573598000.0,Technology,18.57%,0.47,1.54,17.00%,Overpriced,-8.2,0,Slightly,0,8.2,89.17059540139486,0,0,62.24668954248366,0,12.782222222222222
NSP,Insperity,4577022527,119.77,131.67,9.94%,Staffing & Employment Services,22.68,5.28,1.4,34.3,38215100.0,133432000.0,Industrials,55.75%,0.75,1.24,263.00%,Underpriced,9.94,1,Slightly,0,9.94,20.366702422617596,0,0,62.24668954248366,0,36.89842105263158
NSPR,InspireMD,50437436,2.38,4.75,99.58%,Medical Devices,,-2.3,,3.76,21192200.0,13426000.0,Healthcare,,9.65,0.85,-93.20%,Underpriced,99.58,1,Significantly,1,99.58,,0,0,62.24668954248366,0,1044.0974193548386
NSSC,Napco Security Technologies,1333568106,36.27,37.25,2.70%,Security & Protection Services,40.75,0.89,16.27,9.48,36767800.0,140695000.0,Industrials,85.42%,7.91,1.14,26.30%,Underpriced,2.7,1,Slightly,0,2.7,8.753702282241791,0,0,62.24668954248366,0,33.82333333333333
NSTB,Northern Star Investment Corp. II,119882868,10.18,N/A,,Shell Companies,39.13,0.26,,,11782100.0,-16859294.0,Financials,-16.13%,,-0.01,-63.10%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
NSTC,Northern Star Investment Corp. III,158333175,11.55,N/A,,Shell Companies,38.5,0.3,,,13708500.0,-17992143.0,Financials,36.36%,,0.01,-86.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
NSTD,Northern Star Investment Corp. IV,143388360,10.3,N/A,,Shell Companies,35.52,0.29,,,13921200.0,-18450046.0,Financials,11.54%,,0.01,-87.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
NSTG,NanoString Technologies,237615676,5.02,17.0,238.65%,Medical Instruments & Supplies,,-3.47,,17.45,47333800.0,13620000.0,Healthcare,,1.8,1.62,-253.00%,Underpriced,238.65,1,Significantly,1,238.65,,0,0,62.24668954248366,0,45.764399999999995
NSTS,NSTS Bancorp,50814550,9.5,N/A,,Banks - Regional,105.56,0.09,,0.62,5348900.0,82069000.0,Financials,,6.71,,0.60%,N/A,,0,,0,,5.574036975237284,0,1,62.24668954248366,1,11.796324786324787
NSYS,Nortech Systems,29571898,10.95,N/A,,Electronic Components,12.44,0.88,,1.02,2700630.0,28905000.0,Technology,-71.70%,0.21,0.78,9.10%,N/A,,0,,0,,14.557491262962518,1,0,62.24668954248366,0,24.471666666666668
NTAP,NetApp,15908114255,74.37,75.05,0.91%,Computer Hardware,12.84,5.79,1.06,13.73,213904992.0,1159000000.0,Technology,41.56%,2.5,1.18,123.70%,Underpriced,0.91,1,Slightly,0,0.91,26.568179629003147,0,0,62.24668954248366,0,99.56384615384617
NTB,The Bank of N.T. Butterfield & Son,1394708112,27.99,35.75,27.72%,Banks - Diversified,6.11,4.64,1.96,1.49,49828800.0,936901000.0,Financials,39.76%,2.45,1.37,27.60%,Underpriced,27.72,1,Significantly,1,27.72,44.30542290723041,1,0,62.24668954248366,0,8.884
NTCO,Natura &Co Holding,4607213544,6.71,9.0,34.13%,Household & Personal Products,,-0.79,,,686619008.0,,Consumer Staples,,0.67,1.05,,Underpriced,34.13,1,Significantly,1,34.13,,0,0,62.24668954248366,0,52.93631578947368
NTCT,NetScout Systems,2102649353,29.51,32.0,8.44%,Software - Infrastructure,35.99,0.82,1.57,1.04,71252096.0,2029649000.0,Technology,70.83%,2.3,0.7,3.00%,Underpriced,8.44,1,Slightly,0,8.44,22.925025774860252,0,0,62.24668954248366,0,91.06395348837209
NTES,NetEase,63495524400,98.45,113.5,15.29%,Electronic Gaming & Multimedia,20.9,5.03,1.01,4.02,644952000.0,15813994905.0,Communication Services,37.10%,4.45,0.51,21.60%,Underpriced,15.29,1,Slightly,0,15.29,52.67837286103776,0,0,62.24668954248366,0,40.206250000000004
NTGR,NETGEAR,433803094,14.93,22.0,47.35%,Communication Equipment,,-0.74,2.84,0.7,29055800.0,618562000.0,Technology,,0.48,0.72,-3.50%,Underpriced,47.35,1,Significantly,1,47.35,,0,0,62.24668954248366,0,26.672758620689656
NTIC,Northern Technologies International,105277886,11.24,20.0,77.94%,Specialty Chemicals,35.13,0.32,,1.61,9366360.0,65264351.0,Materials,-62.79%,1.36,0.87,4.70%,Underpriced,77.94,1,Significantly,1,77.94,7.08302601687749,0,0,62.24668954248366,0,18.675869565217393
NTIP,Network-1 Technologies,53312000,2.24,N/A,,Specialty Business Services,,-0.07,,1.0,23800000.0,53062000.0,Industrials,,99.28,0.34,-3.00%,N/A,,0,,0,,,0,0,62.24668954248366,0,33.583636363636366
NTLA,Intellia Therapeutics,3958412310,44.91,76.65,70.68%,Biotechnology,,-5.37,,3.32,88141000.0,1190843000.0,Healthcare,,74.02,1.83,-41.70%,Underpriced,70.67,1,Significantly,1,70.67,,0,0,62.24668954248366,0,22.024186046511627
NTNX,Nutanix,6881805444,29.19,35.55,21.79%,Software - Infrastructure,,-1.71,0.6,,235759008.0,-789067000.0,Technology,,3.92,1.34,,Underpriced,21.79,1,Significantly,1,21.79,11.34781134071518,0,0,62.24668954248366,0,91.06395348837209
NTR,Nutrien,29800065749,60.07,81.25,35.26%,Agricultural Inputs,4.69,12.81,,1.18,496088992.0,25261000000.0,Materials,64.44%,0.82,0.95,26.50%,Underpriced,35.26,1,Significantly,1,35.26,121.14661899362477,1,0,62.24668954248366,0,16.491999999999997
NTRA,Natera,5743675500,50.25,74.0,47.26%,Diagnostics & Research,,-5.35,,8.83,114302000.0,650573000.0,Healthcare,,6.62,1.22,-101.00%,Underpriced,47.26,1,Significantly,1,47.26,,0,0,62.24668954248366,0,60.269999999999996
NTRB,Nutriband,20366190,2.6,18.1,596.15%,Biotechnology,,-0.6,,2.64,7833150.0,7719881.0,Healthcare,,9.8,-0.01,-52.80%,Underpriced,596.15,1,Significantly,1,596.15,,0,0,62.24668954248366,0,22.024186046511627
NTRS,Northern Trust,15565230820,74.71,94.71,26.77%,Asset Management,12.71,5.88,2.26,1.34,208342000.0,11587800000.0,Financials,-18.45%,2.3,1.09,11.00%,Underpriced,26.77,1,Significantly,1,26.77,85.78117743495523,1,0,62.24668954248366,0,42.887671232876706
NTST,NETSTREIT,1204320412,18.52,21.94,18.47%,REIT - Retail,123.47,0.15,,1.11,65028100.0,1086275000.0,Real Estate,66.67%,11.54,0.92,0.80%,Underpriced,18.47,1,Slightly,0,18.47,7.508552961964753,0,1,62.24668954248366,1,61.5325
NTWK,NetSol Technologies,25083780,2.22,N/A,,Software - Application,,-0.22,0.35,0.66,11299000.0,37724017.0,Technology,,0.48,0.66,-5.60%,N/A,,0,,0,,,0,0,62.24668954248366,0,164.93469696969697
NTZ,Natuzzi,73247090,6.65,N/A,,"Furnishings, Fixtures & Appliances",,-0.05,,0.78,11014600.0,93465957.0,Consumer Discretionary,,0.15,1.61,-0.60%,N/A,,0,,0,,,0,0,62.24668954248366,0,15.73470588235294
NU,Nu Holdings,35398717437,7.54,7.44,-1.33%,Banks - Diversified,,-0.04,,6.8,4694790111.0,5208521000.0,Financials,,6.4,,-3.60%,Overpriced,-1.33,0,Slightly,0,1.33,,0,0,62.24668954248366,0,8.884
NUBI,Nubia Brand International,163857330,10.53,N/A,,Shell Companies,175.5,0.06,,,15561000.0,-6109884.0,Financials,,,,-17.70%,N/A,,0,,0,,,0,1,62.24668954248366,1,132.68085501858738
NUE,Nucor,38037675641,151.41,148.88,-1.67%,Steel,5.92,25.56,0.75,2.0,251223008.0,19017381000.0,Materials,-8.09%,0.96,1.58,37.00%,Overpriced,-1.67,0,Slightly,0,1.67,208.64949207824284,1,0,62.24668954248366,0,10.715789473684211
NURO,NeuroMetrix,7917946,1.01,N/A,,Medical Devices,,-0.69,,0.36,7839550.0,22012748.0,Healthcare,,1.03,2.31,-22.20%,N/A,,0,,0,,,0,0,62.24668954248366,0,1044.0974193548386
NUS,Nu Skin Enterprises,1672825656,33.52,39.33,17.33%,Household & Personal Products,22.05,1.52,2.35,1.87,49905300.0,892970000.0,Consumer Staples,-43.91%,0.8,1.2,8.70%,Underpriced,17.33,1,Slightly,0,17.33,24.737633562530494,0,0,62.24668954248366,0,52.93631578947368
NUTX,Nutex Health,278710997,0.42,2.5,488.93%,Health Information Services,,-0.69,,3.01,656563008.0,92615422.0,Healthcare,,1.42,,-219.00%,Underpriced,495.24,1,Significantly,1,495.24,,0,0,62.24668954248366,0,95.41799999999999
NUVA,NuVasive,2168774420,41.35,50.75,22.73%,Medical Devices,111.76,0.37,4.83,2.48,52449200.0,873680000.0,Healthcare,,1.78,1.08,2.40%,Underpriced,22.73,1,Significantly,1,22.73,11.776029473471892,0,1,62.24668954248366,0,1044.0974193548386
NUVB,Nuvation Bio,385095040,1.76,3.8,115.91%,Biotechnology,,-0.47,,0.6,218804000.0,641073000.0,Healthcare,,,0.62,-15.80%,Underpriced,115.91,1,Significantly,1,115.91,,0,0,62.24668954248366,0,22.024186046511627
NUVL,Nuvalent,2458067721,43.26,33.5,-22.56%,Biotechnology,,-1.73,,5.54,56820798.0,443968000.0,Healthcare,,,,-25.60%,Overpriced,-22.56,0,Significantly,1,22.56,,0,0,62.24668954248366,0,22.024186046511627
NUWE,Nuwellis,3536305,2.93,N/A,,Medical Devices,,-47.31,,0.26,1206930.0,13664000.0,Healthcare,,0.42,0.26,-114.60%,N/A,,0,,0,,,0,0,62.24668954248366,0,1044.0974193548386
NUZE,NuZee,7461618,9.7,N/A,,Packaged Foods,,-15.83,,1.26,769239.0,5943863.0,Consumer Staples,,2.27,0.58,-117.40%,N/A,,0,,0,,,0,0,62.24668954248366,0,24.583589743589744
NVAC,NorthView Acquisition,64084273,10.39,N/A,,Shell Companies,64.94,0.16,,,6167880.0,-3306653.0,Financials,-23.81%,,,-287.80%,N/A,,0,,0,,,0,1,62.24668954248366,0,132.68085501858738
NVAX,Novavax,693893036,8.04,70.0,770.65%,Biotechnology,,-14.38,,,86305104.0,-895582000.0,Healthcare,,0.51,1.71,,Underpriced,770.65,1,Significantly,1,770.65,57.943555429700076,1,0,62.24668954248366,0,22.024186046511627
